Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Value_co2_emissions_kt_by_country
5.13,0.0,5.13,13760.0
5.19,0.0,5.22,14560.00042
6.36,0.0,4.46,14869.99989
6.34,0.0,5.92,15569.99969
6.21,0.0,5.94,16229.99954
7.0,0.0,5.8,17909.99985
7.32,0.0,3.96,18889.99939
9.36,0.0,4.82,20760.00023
8.86,0.0,6.18,20590.00015
8.55,0.0,7.95,20840.00015
10.24,0.0,4.34,23739.99977
9.27,0.0,4.17,21959.99908
9.6,0.0,7.16,21850.00038
9.61,0.0,5.89,19489.99977
9.47,0.0,5.5,19620.00084
11.37,0.0,5.62,22340.00015
11.68,0.0,3.78,22680.00031
11.76,0.0,6.48,22600.00038
10.36,0.0,6.31,21069.99969
10.82,0.0,4.9,0.0
0.89,0.0,0.0,4030.0
0.95,0.0,0.0,3870.0
0.84,0.0,0.0,4030.00021
0.68,0.0,0.0,3920.000076
0.74,0.0,0.0,3970.000029
0.81,0.0,0.0,4280.00021
0.75,0.0,0.0,4090.000153
0.58,0.0,0.0,4320.000172
0.55,0.0,0.0,4389.999866
0.41,0.0,0.0,4190.000057
0.5,0.0,0.0,3369.999886
0.45,0.0,0.0,3880.000114
0.33,0.0,0.0,3410.000086
0.86,0.0,0.0,5420.000076
2.17,0.0,0.0,6989.999771
2.79,0.0,0.0,6949.999809
2.52,0.0,0.0,6630.000114
2.84,0.0,0.0,7329.999924
2.96,0.0,0.01,7309.999943
3.05,0.0,0.01,7250.0
2.05,0.0,0.01,0.0
28.87,4.94,308.77,313670.0
35.19,14.27,273.71,319380.0
33.5,13.84,292.95,317760.0098
31.62,13.4,313.88,310809.9976
40.14,11.6,329.43,328519.989
39.56,9.2,346.96,331690.0024
39.4,12.98,359.55,335619.9951
37.64,11.65,387.88,352559.9976
55.87,13.21,385.61,373630.0049
36.32,12.22,410.13,350000.0
61.02,13.77,435.99,397929.9927
50.27,14.8,462.32,418309.9976
77.21,15.17,454.78,454230.011
112.0,14.65,436.84,486839.9963
136.58,14.46,430.82,511619.9951
128.85,13.91,428.81,485339.9963
93.06,14.97,463.37,447079.9866
101.9,14.86,464.4,456489.9902
86.69,14.79,492.66,433989.9902
90.91,15.16,512.59,434299.9878
81.15,13.21,520.01,0.0
19.79,18.18,2.63,43420.0
22.25,19.55,1.65,46190.0
19.75,20.22,2.12,43599.99847
22.02,17.28,2.99,47930.00031
21.44,16.82,3.14,47270.00046
20.98,18.65,4.3,47990.00168
21.76,19.49,4.23,48950.00076
25.38,14.64,2.88,52599.99847
25.86,15.77,2.93,50040.00092
23.39,15.26,3.68,42909.99985
24.97,15.25,5.76,44740.00168
29.75,16.31,3.89,49639.99939
25.45,15.78,5.25,45020.00046
21.96,14.17,6.91,39659.99985
23.66,15.87,7.39,42049.99924
24.57,15.38,8.75,44560.00137
21.74,15.78,7.04,41590.00015
23.25,15.55,6.13,43880.00107
21.03,16.13,9.38,40900.00153
19.75,16.56,7.49,39139.99939
16.12,16.63,7.47,0.0
0.22,0.0,0.1,940.0
0.27,0.0,0.05,970.0
0.3,0.0,0.06,959.9999785
0.35,0.0,0.1,1039.999962
0.37,0.0,0.1,1059.999943
0.39,0.0,0.1,1059.999943
0.44,0.0,0.08,1240.00001
0.47,0.0,0.11,1409.999967
0.45,0.0,0.13,1700.000048
0.53,0.0,0.13,1730.000019
0.51,0.0,0.13,2289.999962
0.6,0.0,0.09,2460.000038
0.76,0.0,0.11,2940.000057
0.87,0.0,0.12,3130.000114
1.02,0.0,0.1,3180.000067
1.33,0.0,0.1,3700.000048
1.39,0.0,0.16,3700.000048
1.48,0.0,0.16,4269.999981
1.42,0.0,0.23,4670.000076
1.51,0.0,0.21,5000.0
1.43,0.0,0.21,0.0
0.0,0.0,0.1,260.0
0.0,0.0,0.11,200.0
0.0,0.0,0.13,209.9999934
0.0,0.0,0.1,159.9999964
0.0,0.0,0.09,150.000006
0.0,0.0,0.09,150.000006
0.0,0.0,0.09,180.0000072
0.0,0.0,0.12,180.0000072
0.0,0.0,0.11,180.0000072
0.0,0.0,0.12,180.0000072
0.0,0.0,0.14,300.0000119
