Electricity from fossil fuels (TWh),Value_co2_emissions_kt_by_country
0.11,5420.0
0.16,5519.999981
0.19,5800.000191
0.07,5940.000057
0.28,6269.999981
0.53,6559.999943
0.69,7599.999905
0.68,7519.999981
0.52,7199.999809
0.71,7110.000134
0.91,7429.999828
0.9,7449.999809
1.23,7780.00021
1.1,7829.999924
0.26,7539.999962
0.35,8079.999924
0.21,8260.000229
0.31,8369.999886
0.25,8239.999771
0.19,0.0
4.81,18040.0
5.59,19200.0
6.86,20280.00069
7.73,21610.00061
6.26,21100.00038
6.0,21450.00076
6.27,21610.00061
7.8,22879.99916
6.94,21729.99954
5.87,20309.99947
5.49,19459.99908
5.95,19030.00069
5.33,17409.99985
4.67,17010.00023
3.5,16239.99977
3.73,16600.00038
4.26,16879.99916
4.67,17409.99985
3.77,16430.00031
4.31,16520.00046
4.69,0.0
14.1,28350.0
14.37,27470.0
14.71,26420.00008
14.79,25629.99916
14.66,25360.00061
11.88,26319.99969
13.96,26780.00069
14.67,27680.00031
14.7,26750.0
14.82,26979.99954
14.66,28110.00061
14.99,27590.00015
15.55,28690.00053
16.4,28870.00084
16.52,26690.00053
17.37,29209.99908
17.64,27170.00008
17.57,26239.99977
17.64,26709.99908
16.54,25909.99985
15.47,0.0
3.37,7130.0
3.55,6990.0
3.79,7170.000076
4.05,7829.999924
4.2,7780.00021
4.38,7900.000095
4.65,8000.0
4.87,8310.00042
5.06,8489.999771
5.18,8279.999733
5.25,7900.000095
4.75,7630.000114
4.46,7099.999905
3.96,6429.999828
4.03,6809.999943
4.14,6849.999905
4.46,7219.99979
4.57,7360.000134
4.58,7199.999809
4.63,7190.000057
4.25,0.0
57.03,123170.0
56.9,122720.0
54.27,118529.9988
55.05,122769.9966
54.72,123440.0024
54.07,119989.9979
54.09,120599.9985
58.18,123620.0027
53.01,118309.9976
49.77,111169.9982
51.33,112250.0
51.15,109169.9982
48.22,106069.9997
45.89,101150.0015
45.51,97510.00214
46.27,99139.99939
48.52,101730.0034
47.81,101830.0018
47.51,100900.0015
45.44,96290.00092
39.72,0.0
30.43,52600.0
31.87,54250.0
32.49,53840.00015
38.09,59229.99954
30.9,53729.99954
26.43,50200.00076
36.41,58130.00107
29.01,53409.99985
26.52,50130.00107
26.32,47930.00031
26.44,48119.99893
21.05,43099.99847
15.86,38220.00122
18.78,39959.99908
14.2,35819.99969
10.0,33700.00076
12.16,35319.99969
9.23,33130.00107
9.61,33130.00107
6.44,29700.00076
5.28,0.0
0.18,370.0
0.18,380.0
0.19,400.000006
0.19,409.9999964
0.2,400.000006
0.24,430.0000072
0.26,430.0000072
0.3,469.9999988
0.32,469.9999988
0.33,469.9999988
0.36,519.9999809
0.36,479.9999893
0.37,500.0
